"GEOID","STATE","COUNTY","TOTAL_POPULATION","DISADVANTAGED_POPULATION","PCT_DISADVANTAGED"
NA,Guam,NA,NA,NA,NA
19099,Iowa,Jasper County,36971,6549,0.177138838549133
19111,Iowa,Lee County,34227,6248,0.182545943261168
19061,Iowa,Dubuque County,96982,10943,0.112835371512239
19171,Iowa,Tama County,17032,3691.8,0.216756693283232
19023,Iowa,Butler County,14628,1895,0.129546076018594
19073,Iowa,Greene County,8950,4351,0.486145251396648
19137,Iowa,Montgomery County,10053,5404,0.537550979807023
19065,Iowa,Fayette County,19803,6246,0.315406756552038
19049,Iowa,Dallas County,87099,7646,0.0877851640087716
19109,Iowa,Kossuth County,14978,4433,0.295967418881026
19007,Iowa,Appanoose County,12452,8132,0.653067780276261
19063,Iowa,Emmet County,9438,1843,0.19527442254715
19001,Iowa,Adair County,7085,1571,0.221736062103035
19115,Iowa,Louisa County,11178,3975,0.355609232420827
19113,Iowa,Linn County,223861,25579,0.114262868476421
19101,Iowa,Jefferson County,18148,5818,0.320586290500331
19173,Iowa,Taylor County,6167,2426,0.393384141397762
19097,Iowa,Jackson County,19401,2264,0.116695015720839
19153,Iowa,Polk County,479612,73758,0.153786811005563
19177,Iowa,Van Buren County,7150,3942,0.551328671328671
19167,Iowa,Sioux County,34827,4193,0.120395095759038
19039,Iowa,Clarke County,9360,5139,0.549038461538462
19053,Iowa,Decatur County,7979,2016,0.252663241007645
19057,Iowa,Des Moines County,39386,15021,0.381379170263545
19003,Iowa,Adams County,3670,1651,0.449863760217984
19041,Iowa,Clay County,16211,4784,0.295108259823577
19163,Iowa,Scott County,172446,31296,0.181482898994468
19145,Iowa,Page County,15268,2211,0.144812680115274
19127,Iowa,Marshall County,39964,12276,0.307176458812932
19139,Iowa,Muscatine County,42889,9530,0.222201496887314
19005,Iowa,Allamakee County,13813,5588,0.404546441757764
19069,Iowa,Franklin County,10162,4457,0.438594764810077
19197,Iowa,Wright County,12739,6743,0.529319412826753
19009,Iowa,Audubon County,5571,3715,0.666846167653922
19187,Iowa,Webster County,36545,11167,0.305568477219866
19193,Iowa,Woodbury County,102586,19945,0.194422240851578
19133,Iowa,Monona County,8730,2855.28,0.32706529209622
19105,Iowa,Jones County,20559,4913,0.238970767060655
19151,Iowa,Pocahontas County,6797,1797,0.264381344710902
19123,Iowa,Mahaska County,22164,5839,0.263445226493413
19021,Iowa,Buena Vista County,20058,11439,0.570296141190547
19033,Iowa,Cerro Gordo County,42834,8450,0.19727319419153
19019,Iowa,Buchanan County,21118,2629,0.124490955582915
19047,Iowa,Crawford County,17034,11101,0.651696606786427
19071,Iowa,Fremont County,6946,2256,0.324791246760726
19085,Iowa,Harrison County,14089,3137,0.222655972744694
19107,Iowa,Keokuk County,10188,2536,0.248920298390263
19135,Iowa,Monroe County,7807,2621,0.335724349942359
19149,Iowa,Plymouth County,25068,3675,0.146601244614648
19013,Iowa,Black Hawk County,132393,29607,0.223629648093177
19081,Iowa,Hancock County,10802,2411,0.223199407517126
19027,Iowa,Carroll County,20281,3986,0.196538632217346
19091,Iowa,Humboldt County,9554,2885,0.301967762193846
19179,Iowa,Wapello County,35141,17693,0.503485956574941
19155,Iowa,Pottawattamie County,93393,24125,0.258317004486418
19043,Iowa,Clayton County,17625,5645,0.320283687943262
19029,Iowa,Cass County,13091,6966,0.532121304713162
19067,Iowa,Floyd County,15786,7609,0.48200937539592
19131,Iowa,Mitchell County,10608,3352,0.315987933634992
19045,Iowa,Clinton County,46909,9667,0.206079856743908
19183,Iowa,Washington County,22100,7690,0.347963800904977
19117,Iowa,Lucas County,8583,4251,0.495281370150297
19103,Iowa,Johnson County,148577,13319,0.08964375374385
19125,Iowa,Marion County,33172,2338,0.0704811286627276
39005,Ohio,Ashland County,53536,20813,0.388766437537358
39151,Ohio,Stark County,372404,84957,0.228131276785427
39167,Ohio,Washington County,60426,15964,0.264190911197167
39149,Ohio,Shelby County,48749,8887,0.182301175408726
39175,Ohio,Wyandot County,22000,3408,0.154909090909091
39061,Ohio,Hamilton County,813589,222995,0.274088022330685
39141,Ohio,Ross County,76948,25379,0.329820138275199
39081,Ohio,Jefferson County,66371,29450,0.443717888836992
39039,Ohio,Defiance County,38160,7048,0.184696016771488
39077,Ohio,Huron County,58339,17016,0.291674523046333
39045,Ohio,Fairfield County,154457,37409,0.242196857377782
39109,Ohio,Miami County,105371,25873,0.245541942280134
39033,Ohio,Crawford County,41821,18626,0.445374333468831
39069,Ohio,Henry County,27208,6974,0.25632167009703
39043,Ohio,Erie County,74780,17315,0.231545867879112
39131,Ohio,Pike County,28000,24291,0.867535714285714
39087,Ohio,Lawrence County,60184,40912,0.67978200186096
39165,Ohio,Warren County,229132,5952,0.0259762931410715
39015,Ohio,Brown County,43572,15603,0.358096942990912
39145,Ohio,Scioto County,76040,57224,0.752551288795371
39037,Ohio,Darke County,51513,17495,0.339623007784443
39019,Ohio,Carroll County,27332,3552,0.129957558905312
39101,Ohio,Marion County,65299,29595,0.453222867118945
