"num_state","num_county","na_count","tot_build","mu_total_site_energy","med_total_site_energy","mu_total_source_energy","med_total_source_energy","mu_eui","med_eui","mu_area_sq_ft","med_area_sq_ft","year_built_na_count","mean_year_built","cat_state","cat_county","total_cooling_system_type_CE","total_cooling_system_type_miss","total_cooling_system_type_NO","total_cooling_system_type_NONE","total_cooling_system_type_OT","total_cooling_system_type_PA","total_cooling_system_type_RF","total_ee_potential_score_EE_HIGH","total_ee_potential_score_EE_LOW","total_ee_potential_score_EE_MED","total_ee_potential_score_miss","total_heating_system_type_CENTRAL","total_heating_system_type_FLOOR_WALL","total_heating_system_type_FORCED_AIR","total_heating_system_type_GRAVITY","total_heating_system_type_miss","total_heating_system_type_NONE","total_heating_system_type_OTHER","total_heating_system_type_YES","total_heating_fuel_type_Gas","total_heating_fuel_type_miss","total_heating_fuel_type_Oil","total_heating_fuel_type_Unknown","total_building_type_miss","total_building_type_MultiFamily","total_building_type_Other","total_building_type_SingleFamily","total_building_type_SmallCommercial","total_cooling_system_type_EC","total_cooling_system_type_WA","total_heating_system_type_ELECTRIC","total_heating_system_type_GAS","total_heating_system_type_HEAT_PUMP","total_heating_system_type_SPACE_SUSPENDED","total_heating_fuel_type_Electricity","total_cooling_system_type_WU","total_heating_system_type_BASEBOARD","total_heating_system_type_CONVECTION","total_heating_system_type_HOT_WATER","total_heating_system_type_PROPANE","total_heating_system_type_RADIANT","total_heating_system_type_SOLAR","total_heating_system_type_WOOD_BURNING","total_heating_fuel_type_Propane","total_heating_fuel_type_Wood","total_heating_system_type_GEOTHERMAL","total_heating_system_type_OIL","total_heating_system_type_STEAM","total_cooling_system_type_GT","total_heating_system_type_VENT","total_cooling_system_type_CW","total_heating_system_type_COAL","total_heating_fuel_type_Coal","total_heating_system_type_ZONE"
AK,Anchorage,0,75440,611.28979359169909,519.1400146484375,946.32465939577412,704.34002685546875,309.32077200693249,282.012390783133,1939.2317163446291,1824,11388,1983.1121744832319,AK,Anchorage,57584,0,0,8567,0,0,0,1584,45391,10051,0,0,0,29427,0,0,2590,1553,0,45650,0,13785,5832,0,6686,3515,54800,1192,0,42,922,0,0,67,926,0,0,0,30008,0,1622,4,0,0,0,0,0,0,0,0,0,0,0,0
AL,Elmore,0,38615,960.59596276572881,564.6099853515625,2695.5906184174623,1550.8299560546875,340.46303099178806,257.7205399223,7826.8675805208322,4872,37789,2003.3026634382563,AL,Elmore,0,0,12,29785,0,5,4,2073,16570,7584,0,0,0,5,13,0,6378,0,23417,16,0,2,29804,0,299,1775,27510,253,0,0,0,0,15,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Cleburne,0,8958,1464.3634274072424,794.32000732421875,4026.88147315502,2120.02001953125,417.79421824730866,372.575268187252,12.512671976828385,0,8958,,AL,Cleburne,0,0,0,460,0,20,0,0,0,0,0,0,1,0,156,0,1223,0,0,90,0,66,1225,0,11,45,1282,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Blount,0,32715,1282.6290436126831,698.27001953125,3473.6694541006491,1907.550048828125,400.36018257270831,341.153185858243,4557.5316152732948,2714,16049,1980.3331333253327,AL,Blount,0,0,2,6037,0,104,0,1345,9388,5087,0,0,0,11,1225,0,4753,0,11941,366,0,870,16727,0,117,1121,16575,153,0,0,0,0,3,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Marshall,0,50553,1145.6697982867288,558.05999755859375,3046.8567620595595,1344.02001953125,331.61588251533294,247.301703105403,5189.2754403131148,2699,50537,1969.625,AL,Marshall,1,0,0,10521,0,12,0,2201,22485,8350,0,1,3,26123,3094,0,7333,0,46,27581,0,1637,7492,0,267,2515,33441,569,0,0,0,0,82,109,82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Marengo,0,13186,691.604347440409,395.489990234375,1925.5123042316807,992.94000244140625,282.439187716863,197.233146607942,4746.3805860805833,2184,8116,1954.831558185404,AL,Marengo,0,0,0,1889,0,8,0,959,1613,1872,0,0,3,3554,56,0,1829,1,8,2400,0,1214,1843,0,134,373,4867,86,0,0,0,0,3,2,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Etowah,0,53076,1294.6147723911281,710.92999267578125,3468.5994866573678,1878.4200439453125,396.67041502217876,317.289363150878,5102.0956690974772,2610,13429,1967.2937927207602,AL,Etowah,0,0,0,14573,0,104,0,4397,21188,11902,0,0,147,23,3029,0,11315,5,28010,195,0,2870,39582,0,336,3114,38041,1156,0,0,0,0,0,105,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Walker,0,47657,1190.380963662669,690.84002685546875,3237.3363113313262,1867.5899658203125,423.4110175803965,356.483760837993,304.44456243363112,0,47444,1999.1361502347411,AL,Walker,0,0,2,11551,0,1958,0,192,4306,1787,0,0,18463,0,1299,0,12144,0,63,889,0,410,30708,0,81,2336,29363,238,0,0,0,0,11,38,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Lowndes,0,8343,791.35416963628245,433.97000122070312,2201.6715881880782,1093.5699462890625,317.73481746296608,229.875025720501,268.29399141630893,0,8336,1999.1428571428571,AL,Lowndes,0,0,0,1844,0,0,0,25,21,32,0,0,1619,0,46,0,1597,0,0,39,0,7,3216,0,2,240,2960,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Baldwin,0,100056,600.07714377933519,325.239990234375,1723.1497574578646,858.46002197265625,215.57602804309838,150.291109559262,61493.818856151622,29758,25491,1990.4914772346283,AL,Baldwin,0,0,4407,11001,0,41,0,1029,43082,13426,0,0,0,62128,153,0,14927,1,7,53522,0,8761,14965,0,422,12672,62807,1347,0,0,0,0,0,30,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
